Αναγνωριστικό,eidos,etos,tm_code,tm_per,eidos_from_excel,tma_code,tma_per,ps_ex,ps_dm,ps_km,teacher,
1,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110001,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ Ι,1,3,ΥΠ,ΑΝΑΓΝΩΣΤΟΥ ΔΙΑΜΑΝΤΩ,
2,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110005,ΚΟΙΝΩΝΙΚΗ ΘΕΩΡΙΑ - ΕΙΣΑΓΩΓΗ,1,3,ΥΠ,ΦΟΥΡΤΟΥΝΗΣ ΓΕΩΡΓΙΟΣ,
3,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110008,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΙΙ,2,3,ΥΠ,ΣΕΦΕΡΙΑΔΗΣ ΣΕΡΑΦΕΙΜ,
4,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110012,ΚΟΙΝΩΝΙΚΗ ΘΕΩΡΙΑ - ΜΑΡΞ ΚΑΙ ΒΕΜΠΕΡ,2,3,ΥΠ,ΦΑΡΑΚΛΑΣ-ΜΑΤΟΡΙΚΟΣ ΓΕΩΡΓΙΟΣ,
5,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110018,"ΘΕΩΡΙΕΣ ΤΗΣ ΠΟΛΙΤΙΚΗΣ -ΧΟΜΠΣ, ΛΟΚ, ΡΟΥΣΣΩ",2,3,ΕΥ,ΑΓΓΕΛΙΔΗΣ ΕΜΜΑΝΟΥΗΛ,
6,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110019,ΘΕΩΡΙΑ ΤΟΥ ΚΟΜΜΑΤΙΚΟΥ ΦΑΙΝΟΜΕΝΟΥ,5,3,ΕΕ,ΜΟΣΧΟΝΑΣ ΓΕΡΑΣΙΜΟΣ,
7,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110021,ΝΕΩΤΕΡΗ ΕΥΡΩΠΑΪΚΗ ΙΣΤΟΡΙΑ -19ος αιών.,1,3,ΥΠ,ΛΟΥΒΗ ΕΥΑΓΓΕΛΙΑ,
8,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110029,ΚΟΙΝΩΝΙΚΗ ΘΕΩΡΙΑ - ΣΥΓΧΡΟΝΑ ΡΕΥΜΑΤΑ,3,3,ΥΠ,ΑΝΑΝΙΑΔΗΣ ΓΡΗΓΟΡΙΟΣ,
9,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110168,ΙΣΤΟΡΙΑ ΕΛΛΗΝΙΚΟΥ ΚΡΑΤΟΥΣ (19ος - 20ος αι.),2,3,ΥΠ,ΚΟΥΛΟΥΡΗ ΧΡΙΣΤΙΝΑ,
10,ΠΡΟ,2015,11,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,PRO,110219,ΠΟΛΙΤΙΚΗ ΘΕΩΡΙΑ ΤΟΥ ΦΙΛΕΛΕΥΘΕΡΙΣΜΟΥ,5,3,ΕΕ,ΑΓΓΕΛΙΔΗΣ ΕΜΜΑΝΟΥΗΛ,
