ΑΚΑΔΗΜΑΙΚΟ ΕΤΟΣ ΠΛΗΡΕΣ,ΑΚΑΔΗΜΑΙΚΟ ΕΤΟΣ,ΧΡΟΝΟΠΕΡΙΟΔΟΣ,ΠρώτοΤουΑΠΟ ΗΜΕΡΟΜΗΝΙΑ,ΠρώτοΤουΕΩΣ ΗΜΕΡΟΜΗΝΙΑ,ΠρώτοΤουΗΜΕΡΑ,ΠρώτοΤου(ΤΜΗΜΑ ΚΑΤΑΝΟΜΗ),ΠρώτοΤου(ΤΜΗΜΑ (ΔΕΣΜΕΥΣΗ) ***),ΠρώτοΤου(Π/Μ ***),ΠρώτοΤου(ΕΞΑΜ ***),ΠρώτοΤου(Υ/Ε ***),ΠρώτοΤου(ΚΩΔ ΜΑΘΗΜ ***),ΠρώτοΤου(ΛΕΚΤ ΜΑΘΗΜ),ΠρώτοΤου(ΔΙΔ ΜΟΝΑΔΕΣ),ΠρώτοΤου(ΔΙΔΑΣΚΩΝ),ΠρώτοΤουΗΜΕΡΟΜΗΝΙΑ ΜΙΑΣ ΜΕΡΑΣ,ουΠρώτοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ:00,ουΤελευταίοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ:00,ΠρώτοΤουΠρώτοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ,ΠρώτοΤουΤελευταίοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ,ΠρώτοΤουΑναγνωριστικό,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΔΕΠΣ,,,,,02/06/16 ΚΑ ΕΚΔΗΛ.,,,,,16:00:00,22:00:00,15:00-16:00,21:00-22:00,88845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΠΕΙ,2,,,,02/06/16 ΨΥΧ ΑΝΑΠΛ,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,88177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΔΕΠΣ,,,,,03/06/16 ΚΑ ΕΚΔΗΛ.,,,,,11:00:00,18:00:00,10:00-11:00,17:00-18:00,105054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΚΟΙΝ,5,,,,03/06/16 ΚΟΙΝ ΑΝΑΠΛ ΖΑΡΑΦΩΝΙΤΟΥ,,,,,16:00:00,18:00:00,15:00-16:00,17:00-18:00,104719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΚΟΙΝ,,,,,03/06/16 ΠΕΙ ΑΝΑΠΛ ΚΟΥΛΟΥΡΗ.,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,104247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΨΥΧ,,,,,03/06/16 ΨΥΧ ΑΝΑΠΛ,,,,,09:00:00,10:00:00,08:00-09:00,09:00-10:00,104262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΚΠ,2,Π,2,Υ,18020,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,88498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΤΟΠΑ,2,Π,2,Υ,18022,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,104244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΠΕΙ,2,Π,2,ΥΕ,18023,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,72284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΠΕΙ,2,Π,2,Υ,18027,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,72290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΔΔ,2,Π,2,ΥΕ,18030,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,79962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΠΕΙ,2,Π,6,Ε,20769,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,88012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΚΟΙΝ,2,Π,6,ΕΕ,110320,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,80139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΔΔ,2,Π,2,Υ,18036,,,,,16:00:00,18:00:00,15:00-16:00,17:00-18:00,104305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΨΥΧ,2,Π,6,ΕΕ,110332,,,,,18:00:00,20:00:00,17:00-18:00,19:00-20:00,71969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΠΕΙ,2,Π,2,ΥΕ,18040,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,104229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΕΜΕΠ,2,Π,6,ΕΕ,18042,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,104412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΠΕΙ,2,Π,6,ΕΕ,110361,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,71927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΔΕΠΣ,2,Π,2,Υ,18045,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,87877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΠΕΙ,2,Π,6,ΕΕ,18046,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,71930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΠΕΙ,2,Π,6,ΕΕ,18048,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,88285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΚΟΙΝ,2,Π,6,ΕΕ,110390,,,,,18:00:00,20:00:00,17:00-18:00,19:00-20:00,80148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΠΕΙ,2,Π,6,ΕΕ,18049,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,88282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΠΕΙ,2,Π,6,ΕΕ,20790,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,80178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΠΕΙ,2,Π,2,Υ,18050,,,,,18:00:00,20:00:00,17:00-18:00,19:00-20:00,72293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΠΕΙ,2,Π,6,ΣΕ,18054,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,71966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΚΟΙΝ,2,Π,6,ΕΕ,18055,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,72161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΔΕΠΣ,2,Π,4,Υ,18056,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,79923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΠΕΙ,2,Π,4,Υ,18057,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,104226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
