1,11,ΠΕΙ,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ,Πολιτικών Επιστημών,,,2
2,12,ΔΕΠΣ,"ΔΙΕΘΝΩΝ, ΕΥΡΩΠΑΪΚΩΝ ΚΑΙ ΠΕΡΙΦΕΡΕΙΑΚΩΝ ΣΠΟΥΔΩΝ",Διεθνών Σπουδών Επικοινωνίας και Πολιτισμού,,,6
3,3,ΚΟΙΝ,ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ,Κοινωνικών Επιστημών και Ψυχολογίας,,,5
4,41,ΕΜΕΠ,"ΕΠΙΚΟΙΝΩΝΙΑΣ, ΜΕΣΩΝ ΚΑΙ ΠΟΛΙΤΙΣΜΟΥ",Διεθνών Σπουδών Επικοινωνίας και Πολιτισμού,,,1
5,51,ΚΠ,ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ,Πολιτικών Επιστημών,,,3
6,52,ΚΑ,ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ,Κοινωνικών Επιστημών και Ψυχολογίας,,,1
7,6,ΨΥΧ,ΨΥΧΟΛΟΓΙΑΣ,Κοινωνικών Επιστημών και Ψυχολογίας,,,5
8,7,ΔΔ,ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ,Επιστημών Οικονομίας και Δημόσιας Διοίκησης,,,1
9,8,ΤΟΠΑ,ΟΙΚΟΝΟΜΙΚΗΣ ΚΑΙ ΠΕΡΙΦΕΡΕΙΑΚΗΣ ΑΝΑΠΤΥΞΗΣ,Επιστημών Οικονομίας και Δημόσιας Διοίκησης,,,1
10,32,ΕΓΚ,ΕΓΚΛΗΜΑΤΟΛΟΓΙΑ,ΕΓΚΛΗΜΑΤΟΛΟΓΙΑ,,2018-05-04 13:37:55,4
